Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,Year
1,Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,,82.86,,2006.0
3,Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,9.1,37.14,,2008.0
5,Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,8.8,33.09,,2009.0
7,New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,,2006.0
9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,9.2,30.22,,2009.0
12,Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,4.5,28.02,,2007.0
13,Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,,24.0,,2010.0
14,Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,,23.96,,2005.0
15,Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,,2005.0
17,Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,,22.67,,2008.0
18,Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,,21.13,,2009.0
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,20.32,20.32,2013.0
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,19.39,19.39,2014.0
22,Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.1,,19.01,,2006.0
25,Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,,18.11,,2011.0
26,Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,17.67,,2007.0
29,Pokemon X/Y,Role-Playing,E,3DS,Nintendo,Game Freak,8.9,9.7,16.37,,2013.0
32,Pokemon Sun/Moon,Role-Playing,E,3DS,Nintendo,Game Freak,9.0,,16.14,,2016.0
34,Pokemon Black / White Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,9.0,15.64,,2011.0
36,Mario Kart 8 Deluxe,Racing,E,NS,Nintendo,Nintendo EPD,9.3,,15.02,,2017.0
40,Brain Age 2: More Training in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.0,,14.88,,2007.0
41,Call of Duty: Modern Warfare 3,Shooter,M,X360,Activision,Infinity Ward,8.7,,14.82,14.82,2011.0
42,Call of Duty: Black Ops,Shooter,M,X360,Activision,Treyarch,8.8,,14.74,14.74,2010.0
44,Halo 3,Shooter,M,X360,Microsoft Game Studios,Bungie Studios,9.6,9.5,14.5,,2007.0
46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,,13.94,13.94,2018.0
49,Super Mario Odyssey,Platform,E10,NS,Nintendo,Nintendo EPD,9.9,,13.76,,2017.0
50,Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,Infinity Ward,9.5,9.0,13.53,13.53,2009.0
51,Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8.0,,13.4,13.4,2017.0
52,Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,Infinity Ward,8.8,,13.35,13.35,2011.0
53,Super Smash Bros. Brawl,Fighting,T,Wii,Nintendo,Project Sora,9.2,9.7,13.29,,2008.0
55,New Super Mario Bros. 2,Platform,E,3DS,Nintendo,Nintendo,7.5,,13.08,,2012.0
58,Super Mario Galaxy,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.78,,2007.0
59,Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,12.72,,2010.0
60,Call of Duty: Black Ops,Shooter,M,PS3,Activision,Treyarch,8.7,,12.67,12.67,2010.0
62,Super Mario 3D Land,Platform,E,3DS,Nintendo,Nintendo EAD Tokyo,8.9,,12.41,,2011.0
63,Animal Crossing: New Leaf,Simulation,E,3DS,Nintendo,Nintendo EAD,8.6,,12.1,,2013.0
64,Super Smash Bros. Ultimate,Fighting,E10,NS,Nintendo,Bandai Namco Games,9.4,9.7,12.08,,2018.0
67,Gran Turismo 5,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,,2010.0
69,FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,,11.8,11.8,2017.0
71,Animal Crossing: Wild World,Simulation,E,DS,Nintendo,Nintendo EAD,8.5,,11.75,,2005.0
72,The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,NS,Nintendo,Nintendo EPD,9.9,10.0,11.68,,2017.0
74,Grand Theft Auto IV,Action,M,X360,Rockstar Games,Rockstar North,10.0,,11.09,11.09,2008.0
75,Super Mario 64 DS,Platform,E,DS,Nintendo,Nintendo EAD,8.6,,11.06,,2004.0
77,FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,,10.94,10.94,2016.0
79,Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,Infinity Ward,9.5,,10.61,10.61,2009.0
80,Grand Theft Auto IV,Action,M,PS3,Rockstar Games,Rockstar North,10.0,9.0,10.57,10.57,2008.0
82,Call of Duty: Ghosts,Shooter,M,X360,Activision,Infinity Ward,6.9,,10.41,10.41,2013.0
83,Just Dance 3,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,10.14,2011.0
84,Call of Duty: Ghosts,Shooter,M,PS3,Activision,Infinity Ward,7.5,,10.13,10.13,2013.0
85,Horizon: Zero Dawn,Action,T,PS4,Sony Interactive Entertainment,Guerrilla Games,9.1,8.0,10.0,,2017.0
88,Halo: Reach,Shooter,M,X360,Microsoft Game Studios,Bungie,9.3,,9.97,9.97,2010.0
94,Super Smash Bros. for 3DS,Fighting,E10,3DS,Nintendo,Bandai Namco Games,8.4,,9.45,,2014.0
95,Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,Infinity Ward,9.6,9.0,9.41,9.41,2007.0
97,Wii Party,Misc,E,Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,,9.32,,2010.0
99,Mario Party DS,Misc,E,DS,Nintendo,Hudson Soft,7.1,,9.31,,2007.0
103,Marvel's Spider-Man,Action-Adventure,T,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,,9.0,,2018.0
105,The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,8.88,8.88,2011.0
106,Mario Party 8,Misc,E,Wii,Nintendo,Hudson Soft,6.5,,8.85,,2007.0
108,Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,8.72,8.72,2014.0
109,Uncharted 4: A Thief's End,Action,T,PS4,Sony Interactive Entertainment,Naughty Dog,9.2,,8.7,,2016.0
112,Pokemon Black 2 and White 2,Role-Playing,E,DS,Nintendo,Game Freak,8.0,8.3,8.52,,2012.0
114,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,,8.48,8.48,2015.0
115,Mario Kart 8,Racing,E,WiiU,Nintendo,Nintendo,8.8,,8.42,,2014.0
117,Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,3DS,Nintendo,Game Freak,8.1,,8.28,,2017.0
118,Splatoon 2,Shooter,E10,NS,Nintendo,Nintendo EPD,8.2,,8.27,,2017.0
119,FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,,8.22,8.22,2015.0
121,Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,7.1,,8.03,8.03,2015.0
125,Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.8,,7.72,7.72,2005.0
127,Pokemon Platinum Version,Role-Playing,E,DS,Nintendo,Game Freak,8.3,8.9,7.6,,2009.0
130,Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,,7.53,7.53,2014.0
131,Call of Duty: World at War,Shooter,M,X360,Activision,Treyarch,8.5,7.8,7.5,7.5,2008.0
133,Super Mario Galaxy 2,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,,2010.0
136,Battlefield 3,Shooter,M,X360,Electronic Arts,Dice,8.5,,7.35,7.35,2011.0
137,The Legend of Zelda: Twilight Princess,Adventure,T,Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,,2006.0
139,Battlefield 3,Shooter,M,PS3,Electronic Arts,Dice,8.5,,7.21,7.21,2011.0
148,Uncharted 3: Drake's Deception,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,6.84,6.84,2011.0
152,Uncharted 2: Among Thieves,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,6.74,6.74,2009.0
153,Call of Duty 4: Modern Warfare,Shooter,M,PS3,Activision,Infinity Ward,9.5,9.6,6.72,6.72,2007.0
154,FIFA Soccer 12,Sports,E,PS3,EA Sports,EA Canada,9.2,,6.65,6.65,2011.0
156,Red Dead Redemption,Action,M,PS3,Rockstar Games,Rockstar San Diego,9.5,,6.57,6.57,2011.0
157,Donkey Kong Country Returns,Platform,E,Wii,Nintendo,Retro Studios,8.6,,6.53,,2010.0
159,Assassin's Creed III,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,6.5,6.5,2012.0
161,Red Dead Redemption,Action,M,X360,Rockstar Games,Rockstar San Diego,9.5,10.0,6.5,6.5,2010.0
162,The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,9.0,,6.49,6.49,2011.0
164,Tomodachi Life,Simulation,E,3DS,Nintendo,Nintendo,7.8,,6.4,,2014.0
166,Halo 3: ODST,Shooter,M,X360,Microsoft Game Studios,Bungie,8.7,,6.35,6.35,2009.0
167,Minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,6.33,6.33,2014.0
168,FIFA 15,Sports,E,PS4,EA Sports,EA Canada,8.1,,6.32,6.32,2014.0
171,The Last of Us,Action-Adventure,M,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,,6.27,6.27,2013.0
174,God of War (2018),Action,M,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,,6.15,6.15,2018.0
175,Big Brain Academy,Misc,E,DS,Nintendo,Nintendo EAD,7.7,,6.15,,2006.0
181,Metal Gear Solid 4: Guns of the Patriots,Action,M,PS3,Konami,Kojima Productions,9.3,9.8,6.0,6.0,2008.0
185,LittleBigPlanet,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.4,9.2,5.85,5.85,2008.0
187,Super Mario 3D World,Platform,E,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,,5.8,,2013.0
188,Link's Crossbow Training,Shooter,T,Wii,Nintendo,Nintendo EAD,6.9,,5.79,,2007.0
190,New Super Mario Bros. U,Platform,E,WiiU,Nintendo,Nintendo EAD,8.4,,5.77,,2012.0
192,Luigi's Mansion: Dark Moon,Adventure,E,3DS,Nintendo,Next Level Games,8.6,,5.75,,2013.0
196,LEGO Star Wars: The Complete Saga,Action,E10,Wii,LucasArts,Traveller's Tales,8.0,,5.66,5.66,2007.0
197,Cooking Mama,Simulation,E,DS,Majesco,Office Create,6.6,,5.66,5.66,2006.0
198,The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,E10,3DS,Nintendo,GREZZO,9.5,,5.62,,2011.0
201,Assassin's Creed II,Action,M,PS3,Ubisoft,Ubisoft Montreal,9.0,,5.57,5.57,2009.0
203,Assassin's Creed,Action,M,X360,Ubisoft,Ubisoft Montreal,8.2,8.0,5.55,5.55,2007.0
204,Batman: Arkham City,Action,T,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,,5.54,5.54,2011.0
205,Forza Motorsport 3,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.2,9.8,5.5,5.5,2009.0
206,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,E10,DS,Nintendo,Level 5,8.6,,5.5,,2010.0
213,Call of Duty: World at War,Shooter,M,PS3,Activision,Treyarch,8.4,,5.43,5.43,2008.0
217,Final Fantasy XIII,Role-Playing,T,PS3,Square Enix,Square Enix,8.0,9.2,5.35,5.35,2010.0
218,Gran Turismo 5 Prologue,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,5.35,,2008.0
219,Super Smash Bros. for Wii U,Fighting,E10,WiiU,Nintendo,Bandai Namco Games,9.2,,5.35,,2014.0
223,Assassin's Creed II,Action,M,X360,Ubisoft,Ubisoft Montreal,9.1,,5.3,5.3,2009.0
224,Super Mario Party,Party,E,NS,Nintendo,"Nd Cube Co., Ltd.",7.3,,5.3,,2018.0
227,Just Dance 2,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.3,,5.25,,2010.0
230,Call of Duty: Advanced Warfare,Shooter,M,XOne,Activision,Sledgehammer Games,8.3,,5.22,5.22,2014.0
234,God of War III,Action,M,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.2,9.4,5.2,,2010.0
235,Nintendo Land,Party,E10,WiiU,Nintendo,Nintendo,7.8,,5.19,,2012.0
244,Resident Evil 5,Action,M,PS3,Capcom,Capcom,8.6,8.8,5.1,5.1,2009.0
245,Fable III,Role-Playing,M,X360,Microsoft Game Studios,Lionhead Studios,7.8,,5.1,5.1,2010.0
246,Mario & Sonic at the Olympic Games,Sports,E,DS,Sega,Sega,7.0,,5.1,5.1,2008.0
247,Grand Theft Auto: Vice City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.4,,5.08,5.08,2006.0
248,FIFA Soccer 11,Sports,E,PS3,EA Sports,EA Canada,8.7,,5.08,5.08,2010.0
250,Final Fantasy XV,Role-Playing,T,PS4,Square Enix,Square Enix,8.1,,5.07,5.07,2016.0
251,Fallout 4,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,,5.03,5.03,2015.0
256,Gears of War,Shooter,M,X360,Microsoft Game Studios,Epic Games,9.4,9.4,5.0,,2006.0
257,Gears of War 2,Shooter,M,X360,Microsoft Game Studios,Epic Games,9.4,9.5,5.0,,2008.0
259,Halo 5: Guardians,Shooter,T,XOne,Microsoft Studios,343 Industries,8.6,,5.0,,2015.0
262,Uncharted: Drake's Fortune,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,8.7,8.6,4.97,4.97,2007.0
264,Fallout 3,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.0,8.6,4.96,4.96,2008.0
265,Splatoon,Shooter,E10,WiiU,Nintendo,Nintendo EAD,8.4,,4.94,,2015.0
271,Pokemon Mystery Dungeon: Explorers of Time / Darkness,Role-Playing,E,DS,Nintendo,ChunSoft,6.4,,4.88,,2008.0
275,Assassin's Creed,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.2,8.5,4.83,4.83,2007.0
278,LEGO Star Wars: The Complete Saga,Action,E,DS,LucasArts,Traveller's Tales,7.8,,4.77,4.77,2007.0
279,The Legend of Zelda: Phantom Hourglass,Adventure,E,DS,Nintendo,Nintendo EAD,9.1,,4.76,,2007.0
280,Batman: Arkham City,Action,T,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,,4.75,4.75,2011.0
285,Monster Hunter: World,Action,T,PS4,Capcom,Capcom,9.3,9.0,4.67,4.67,2018.0
286,Gran Turismo,Racing,E,PSP,Sony Computer Entertainment,Polyphony Digital,7.7,9.5,4.67,,2009.0
291,Forza Motorsport 4,Racing,E,X360,Microsoft Studios,Turn 10 Studio,9.1,,4.6,4.6,2011.0
292,Guitar Hero III: Legends of Rock,Misc,T,Wii,RedOctane,Vicarious Visions,8.6,,4.6,4.6,2007.0
293,"Pokemon: Let's Go, Pikachu!",Role-Playing,E,NS,Nintendo,Game Freak,8.3,,4.57,4.57,2018.0
295,Mario & Luigi: Bowser's Inside Story,Role-Playing,E,DS,Nintendo,AlphaDream Corporation,9.1,,4.56,,2009.0
296,FIFA 15,Sports,E,PS3,EA Sports,EA Canada,6.9,,4.56,4.56,2014.0
297,Mario & Sonic at the Olympic Winter Games,Sports,E,Wii,Sega,Sega,6.8,,4.54,4.54,2009.0
298,Overwatch,Shooter,T,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,,4.54,4.54,2016.0
300,Guitar Hero III: Legends of Rock,Misc,T,X360,RedOctane,Neversoft,8.7,,4.53,4.53,2007.0
309,Professor Layton and the Curious Village,Adventure,E,DS,Nintendo,Level 5,8.7,,4.49,,2008.0
312,Nintendogs + cats,Simulation,E,3DS,Nintendo,Nintendo EAD,7.2,,4.48,,2011.0
313,The Elder Scrolls IV: Oblivion,Role-Playing,M,X360,Take-Two Interactive,Bethesda Softworks,9.2,,4.47,4.47,2009.0
318,Michael Jackson: The Experience,Misc,E10,Wii,Ubisoft,Ubisoft Montpellier,5.6,,4.37,4.37,2010.0
321,Resistance: Fall of Man,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,8.5,9.1,4.37,4.37,2006.0
323,Call of Duty: Advanced Warfare,Shooter,M,X360,Activision,High Moon Studios,9.1,,4.34,4.34,2014.0
325,Animal Crossing: City Folk,Simulation,E,Wii,Nintendo,Nintendo EAD,7.1,8.8,4.32,,2008.0
329,Monster Hunter Generations,Action,T,3DS,Capcom,Capcom,8.8,,4.3,,2016.0
330,Batman: Arkham Asylum,Action,T,PS3,Eidos Interactive,Rocksteady Studios,9.0,,4.28,4.28,2009.0
331,Call of Duty: Advanced Warfare,Shooter,M,PS3,Activision,High Moon Studios,9.1,,4.27,4.27,2014.0
334,Daxter,Platform,E10,PSP,Sony Computer Entertainment,Ready at Dawn,8.6,,4.23,4.23,2006.0
335,Super Paper Mario,Platform,E,Wii,Nintendo,Intelligent Systems,8.5,,4.23,,2007.0
336,Assassin's Creed: Revelations,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,4.23,4.23,2011.0
338,Assassin's Creed: Revelations,Action,M,X360,Ubisoft,Ubisoft Montreal,7.9,,4.22,4.22,2011.0
340,Monster Hunter 4 Ultimate,Role-Playing,T,3DS,Capcom,Capcom,8.8,,4.2,,2015.0
341,Street Fighter IV,Fighting,T,PS3,Capcom,Capcom / Dimps Corporation,9.3,9.0,4.19,4.19,2009.0
343,FIFA Soccer 12,Sports,E,X360,EA Sports,EA Canada,9.2,,4.18,4.18,2011.0
344,Call of Duty: Ghosts,Shooter,M,PS4,Activision,Infinity Ward,7.5,,4.17,4.17,2013.0
349,Star Wars Battlefront (2015),Shooter,T,XOne,Electronic Arts,EA DICE,6.9,,4.15,4.15,2015.0
356,Batman: Arkham Knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,,4.11,4.11,2015.0
361,Fallout: New Vegas,Role-Playing,M,X360,Bethesda Softworks,Obsidian Entertainment,8.2,,4.08,4.08,2010.0
363,Far Cry 4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,8.4,,4.06,4.06,2014.0
364,Carnival Games,Misc,E,Wii,Global Star Software,Cat Daddy Games,4.2,,4.06,4.06,2007.0
366,Forza Motorsport 2,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.1,,4.05,4.05,2007.0
373,Just Dance,Misc,E10,Wii,Ubisoft,Ubisoft Paris,5.4,,4.0,,2009.0
375,Super Mario Maker,Platform,E,WiiU,Nintendo,Nintendo EAD,8.8,,4.0,,2015.0
377,Fallout 3,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,,4.0,4.0,2008.0
381,NBA 2K16,Sports,E10,PS4,2K Sports,Visual Concepts,8.7,,3.98,3.98,2015.0
382,Left 4 Dead 2,Shooter,M,X360,Electronic Arts,Certain Affinity / Valve Software,9.0,,3.97,3.97,2009.0
383,Far Cry 5,Action,M,PS4,Ubisoft,Ubisoft,7.9,,3.95,3.95,2018.0
384,Battlefield 4,Shooter,M,PS4,Electronic Arts,EA DICE,8.3,,3.94,3.94,2013.0
385,Assassin's Creed IV: Black Flag,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.7,,3.94,3.94,2013.0
386,EA Sports Active,Sports,E,Wii,EA Sports,EA Vancouver,8.3,,3.93,3.93,2009.0
392,Just Dance 2014,Music,E10,Wii,Ubisoft,Ubisoft Paris,7.4,,3.89,3.89,2013.0
393,Professor Layton and the Diabolical Box,Adventure,E10,DS,Nintendo,Level 5,8.5,,3.88,,2009.0
394,Sports Champions,Sports,E10,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.6,,3.88,3.88,2010.0
395,MotorStorm,Racing,T,PS3,Sony Computer Entertainment,Evolution Studios,8.2,,3.87,3.87,2007.0
399,Resident Evil VII: Biohazard,Action,M,PS4,Capcom,Capcom,8.6,,3.83,,2017.0
400,Monster Hunter Freedom Unite,Role-Playing,T,PSP,Capcom,Capcom Production Studio 1,7.7,9.7,3.8,,2009.0
402,LEGO Indiana Jones: The Original Adventures,Adventure,E10,X360,LucasArts,Traveller's Tales,7.5,,3.76,3.76,2008.0
405,Ratchet & Clank: Size Matters,Platform,E10,PSP,Sony Computer Entertainment,High Impact Games,8.5,,3.75,3.75,2007.0
408,FIFA 17,Sports,E,XOne,Electronic Arts,EA Canada,8.8,,3.71,3.71,2016.0
410,The Legend of Zelda: A Link Between Worlds,Adventure,E,3DS,Nintendo,Nintendo EAD,9.3,,3.71,,2013.0
413,The Legend of Zelda: Skyward Sword,Adventure,T,Wii,Nintendo,Nintendo EAD,9.4,,3.67,,2011.0
415,Midnight Club 3: DUB Edition,Racing,E10,PSP,Rockstar Games,Rockstar Leeds,7.2,,3.66,3.66,2005.0
416,MySims,Simulation,E,DS,Electronic Arts,EA Redwood Shores,6.7,,3.66,3.66,2007.0
419,Battlefield 4,Shooter,M,PS3,Electronic Arts,EA DICE,8.7,,3.64,3.64,2013.0
423,FIFA Soccer 10,Sports,E,PS3,EA Sports,EA Canada,9.0,,3.63,3.63,2009.0
424,Guitar Hero: World Tour,Misc,T,Wii,Activision,Vicarious Visions,8.4,,3.62,3.62,2008.0
430,Assassin's Creed Syndicate,Action,M,PS4,Ubisoft,Ubisoft Quebec,8.6,,3.6,3.6,2015.0
433,Cooking Mama 2: Dinner With Friends,Simulation,E,DS,Majesco,Office Create,6.9,,3.58,3.58,2007.0
437,Battlefield 4,Shooter,M,X360,Electronic Arts,EA DICE,8.7,,3.54,3.54,2013.0
441,Batman: Arkham Asylum,Action,T,X360,Eidos Interactive,Rocksteady Studios,9.1,,3.54,3.54,2009.0
442,Assassin's Creed: Brotherhood,Action,M,X360,Ubisoft,Ubisoft Montreal,9.1,,3.53,3.53,2010.0
445,Resident Evil 5,Action,M,X360,Capcom,Capcom,8.6,,3.53,3.53,2009.0
447,NBA 2K17,Sports,E,PS4,2K Sports,Visual Concepts,9.0,,3.52,3.52,2016.0
448,FIFA Soccer 11,Sports,E,X360,EA Sports,EA Canada,8.7,,3.52,3.52,2010.0
450,Left 4 Dead,Shooter,M,X360,Valve Corporation,Certain Affinity / Valve Software,8.7,9.0,3.52,3.52,2008.0
452,Fable II,Role-Playing,M,X360,Microsoft Game Studios,Lionhead Studios,9.0,9.3,3.5,,2008.0
457,Pokemon Mystery Dungeon: Blue Rescue Team,Role-Playing,E,DS,Nintendo,ChunSoft,6.3,,3.49,,2006.0
459,Battlefield: Bad Company 2,Shooter,M,X360,Electronic Arts,EA Digital Illusions CE,9.0,9.3,3.48,3.48,2010.0
460,Borderlands,Shooter,M,X360,2K Games,Gearbox Software,8.3,,3.48,3.48,2009.0
461,Mario & Sonic at the Olympic Winter Games,Sports,E,DS,Sega,Sega,7.6,,3.47,3.47,2009.0
463,Guitar Hero: On Tour,Misc,E10,DS,Activision,Vicarious Visions,7.1,8.1,3.46,3.46,2008.0
466,LEGO Batman: The Videogame,Adventure,E10,X360,Warner Bros. Interactive,Traveller's Tales,7.5,,3.44,3.44,2008.0
469,LittleBigPlanet 2,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.1,,3.43,3.43,2011.0
471,Destiny,Shooter,T,XOne,Activision,Bungie,8.3,,3.41,3.41,2014.0
478,Tekken: Dark Resurrection,Fighting,T,PSP,Namco Bandai,8ing/Raizing,8.7,,3.37,,2006.0
479,The Elder Scrolls V: Skyrim Special Edition,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Softworks,8.3,,3.36,3.36,2016.0
483,Yoshi's Island DS,Platform,E,DS,Nintendo,Artoon,8.2,,3.36,,2006.0
484,Assassin's Creed IV: Black Flag,Action-Adventure,M,X360,Ubisoft,Ubisoft Montreal,8.5,,3.34,3.34,2013.0
485,NBA 2K18,Sports,E10,PS4,2K Sports,Visual Concepts,8.1,,3.34,3.34,2017.0
486,Big Brain Academy: Wii Degree,Misc,E,Wii,Nintendo,Nintendo EAD,7.1,,3.34,,2007.0
491,Animal Crossing: Happy Home Designer,Simulation,E,3DS,Nintendo,Nintendo EAD,6.6,,3.32,,2015.0
494,Madden NFL 16,Sports,E,PS4,EA Sports,EA Tiburon,8.2,,3.3,3.3,2015.0
501,Madden NFL 17,Sports,E,PS4,EA Sports,EA Tiburon,8.5,,3.28,3.28,2016.0
505,God of War: Chains of Olympus,Action,M,PSP,Sony Computer Entertainment,Ready at Dawn,8.9,9.5,3.26,,2008.0
506,FIFA 16,Sports,E,XOne,EA Sports,EA Canada,8.5,,3.25,3.25,2015.0
508,Flash Focus: Vision Training in Minutes a Day,Misc,E,DS,Nintendo,Bandai Namco Games,6.1,,3.23,,2007.0
510,L.A. Noire,Adventure,M,PS3,Rockstar Games,Team Bondi,9.1,,3.21,3.21,2011.0
517,Assassin's Creed IV: Black Flag,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,8.3,,3.19,3.19,2013.0
518,Personal Trainer: Cooking,Misc,E,DS,Nintendo,Nintendo EAD,8.4,,3.18,,2008.0
520,Assassin's Creed Odyssey,Action-Adventure,M,PS4,Ubisoft,Ubisoft Quebec,9.5,,3.18,3.18,2018.0
521,Fallout: New Vegas,Role-Playing,M,PS3,Bethesda Softworks,Obsidian Entertainment,8.2,,3.17,3.17,2010.0
524,Club Penguin: Elite Penguin Force,Adventure,E,DS,Disney Interactive Studios,1st Playable Productions,7.0,,3.14,3.14,2008.0
526,FIFA 18,Sports,E,XOne,EA Sports,EA Vancouver,8.0,,3.14,3.14,2017.0
529,The Elder Scrolls IV: Oblivion,Role-Playing,M,PS3,Bethesda Softworks,4J Studios,9.3,,3.12,3.12,2007.0
531,Tekken 6,Fighting,T,PS3,Namco Bandai,Namco Bandai Games,7.9,,3.12,,2009.0
534,Tom Clancy's Ghost Recon Wildlands,Shooter,M,PS4,Ubisoft,Ubisoft Paris,7.0,,3.12,3.12,2017.0
535,NBA 2K13,Sports,E,X360,2K Sports,Visual Concepts,8.6,,3.11,3.11,2012.0
537,Mario Party 9,Party,E,Wii,Nintendo,"Nd Cube Co., Ltd.",6.5,,3.11,,2012.0
538,Mass Effect 2,Role-Playing,M,X360,Electronic Arts,BioWare Edmonton,9.5,8.9,3.1,3.1,2010.0
541,LEGO Batman: The Videogame,Adventure,E10,Wii,Warner Bros. Interactive,Traveller's Tales,7.3,,3.08,3.08,2008.0
542,Saints Row 2,Action,M,X360,THQ,Volition Inc.,7.9,,3.07,3.07,2008.0
545,Call of Duty: Ghosts,Shooter,M,XOne,Activision,Infinity Ward,7.5,,3.07,3.07,2013.0
546,Heavy Rain,Adventure,M,PS3,Sony Computer Entertainment,Quantic Dream,8.8,8.6,3.06,3.06,2010.0
547,LEGO Batman: The Videogame,Adventure,E10,DS,Warner Bros. Interactive,Traveller's Tales,7.8,,3.06,3.06,2008.0
